,Season,Season Name,Name,Age,Hometown,Profession,Finish,Premiering Date,Finale Date,text
815,45,45,Drew Basile,23,"Philadelphia, PA",Grad Student,6th,"September 27, 2023","December 20, 2023","Drew Basile finishes 6th in  USA Survivor Season 45 titled 45, 
    Drew Basile is 23 years old from Philadelphia, PA and works as Grad Student. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
816,45,45,Julie Alley,49,"Brentwood, TN",Estate Attorney,5th,"September 27, 2023","December 20, 2023","Julie Alley finishes 5th in  USA Survivor Season 45 titled 45, 
    Julie Alley is 49 years old from Brentwood, TN and works as Estate Attorney. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
817,45,45,Katurah Topps,35,"Brooklyn, NY",Civil Rights Attorney,4th,"September 27, 2023","December 20, 2023","Katurah Topps finishes 4th in  USA Survivor Season 45 titled 45, 
    Katurah Topps is 35 years old from Brooklyn, NY and works as Civil Rights Attorney. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
818,45,45,Jake O'Kane,26,"Boston, MA",Attorney,2nd Runner-Up,"September 27, 2023","December 20, 2023","Jake O'Kane finishes 2nd Runner-Up in  USA Survivor Season 45 titled 45, 
    Jake O'Kane is 26 years old from Boston, MA and works as Attorney. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
819,45,45,Austin Li Coon,26,"Chicago, IL",Grad Student,Runner-Up,"September 27, 2023","December 20, 2023","Austin Li Coon finishes Runner-Up in  USA Survivor Season 45 titled 45, 
    Austin Li Coon is 26 years old from Chicago, IL and works as Grad Student. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
820,45,45,Dee Valladares,26,"Miami, FL",Entrepreneur,Winner,"September 27, 2023","December 20, 2023","Dee Valladares is a Winner of  USA Survivor Season 45 titled 45, 
    Dee Valladares is 26 years old from Miami, FL and works as Entrepreneur. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
821,46,46,David Jelinsky,22,"Las Vegas, NV",Slot Machine Salesman,18th,"February 28, 2024","May 22, 2024","David Jelinsky finishes 18th in  USA Survivor Season 46 titled 46, 
    David Jelinsky is 22 years old from Las Vegas, NV and works as Slot Machine Salesman. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
822,46,46,"Jessica ""Jess"" Chong",37,"San Francisco, CA",Software Engineer,17th,"February 28, 2024","May 22, 2024","Jessica ""Jess"" Chong finishes 17th in  USA Survivor Season 46 titled 46, 
    Jessica ""Jess"" Chong is 37 years old from San Francisco, CA and works as Software Engineer. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
823,46,46,Randen Montalvo,41,"Orlando, FL",Aerospace Tech,16th,"February 28, 2024","May 22, 2024","Randen Montalvo finishes 16th in  USA Survivor Season 46 titled 46, 
    Randen Montalvo is 41 years old from Orlando, FL and works as Aerospace Tech. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
824,46,46,Bhanu Gopal,41,"Acton, MA",IT Quality Analyst,15th,"February 28, 2024","May 22, 2024","Bhanu Gopal finishes 15th in  USA Survivor Season 46 titled 46, 
    Bhanu Gopal is 41 years old from Acton, MA and works as IT Quality Analyst. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
825,46,46,"Jemila ""Jem"" Hussain-Adams",31,"Chicago, IL",International Brand Mentor,14th,"February 28, 2024","May 22, 2024","Jemila ""Jem"" Hussain-Adams finishes 14th in  USA Survivor Season 46 titled 46, 
    Jemila ""Jem"" Hussain-Adams is 31 years old from Chicago, IL and works as International Brand Mentor. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
826,46,46,Moriah Gaynor,28,"San Diego, CA",Program Coordinator,13th,"February 28, 2024","May 22, 2024","Moriah Gaynor finishes 13th in  USA Survivor Season 46 titled 46, 
    Moriah Gaynor is 28 years old from San Diego, CA and works as Program Coordinator. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
827,46,46,Tim Spicer,31,"Atlanta, GA",College Coach,12th,"February 28, 2024","May 22, 2024","Tim Spicer finishes 12th in  USA Survivor Season 46 titled 46, 
    Tim Spicer is 31 years old from Atlanta, GA and works as College Coach. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
828,46,46,"Sodasia ""Soda"" Thompson",27,"Lake Hopatcong, NJ",Special Ed Teacher,11th,"February 28, 2024","May 22, 2024","Sodasia ""Soda"" Thompson finishes 11th in  USA Survivor Season 46 titled 46, 
    Sodasia ""Soda"" Thompson is 27 years old from Lake Hopatcong, NJ and works as Special Ed Teacher. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
829,46,46,Tevin Davis,24,"Richmond, VA",Actor,10th,"February 28, 2024","May 22, 2024","Tevin Davis finishes 10th in  USA Survivor Season 46 titled 46, 
    Tevin Davis is 24 years old from Richmond, VA and works as Actor. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
830,46,46,Hunter McKnight,28,"French Camp, MS",Science Teacher,9th,"February 28, 2024","May 22, 2024","Hunter McKnight finishes 9th in  USA Survivor Season 46 titled 46, 
    Hunter McKnight is 28 years old from French Camp, MS and works as Science Teacher. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
831,46,46,Tiffany Nicole Ervin,33,"Elizabeth, NJ",Artist,8th,"February 28, 2024","May 22, 2024","Tiffany Nicole Ervin finishes 8th in  USA Survivor Season 46 titled 46, 
    Tiffany Nicole Ervin is 33 years old from Elizabeth, NJ and works as Artist. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
832,46,46,Venus Vafa,24,"Toronto, ON",Data Analyst,7th,"February 28, 2024","May 22, 2024","Venus Vafa finishes 7th in  USA Survivor Season 46 titled 46, 
    Venus Vafa is 24 years old from Toronto, ON and works as Data Analyst. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
833,46,46,"Quintavius ""Q"" Burdette",29,"Memphis, TN",Real Estate Agent,6th,"February 28, 2024","May 22, 2024","Quintavius ""Q"" Burdette finishes 6th in  USA Survivor Season 46 titled 46, 
    Quintavius ""Q"" Burdette is 29 years old from Memphis, TN and works as Real Estate Agent. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
834,46,46,Ben Katzman,31,"Miami, FL",Musician,TBA,"February 28, 2024","May 22, 2024","Ben Katzman finishes TBA in  USA Survivor Season 46 titled 46, 
    Ben Katzman is 31 years old from Miami, FL and works as Musician. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
835,46,46,Charlie Davis,26,"Boston, MA",Law Student,,"February 28, 2024","May 22, 2024","Charlie Davis finishes None in  USA Survivor Season 46 titled 46, 
    Charlie Davis is 26 years old from Boston, MA and works as Law Student. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
836,46,46,Kenzie Petty,28,"Charlotte, NC",Salon Owner,,"February 28, 2024","May 22, 2024","Kenzie Petty finishes None in  USA Survivor Season 46 titled 46, 
    Kenzie Petty is 28 years old from Charlotte, NC and works as Salon Owner. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
837,46,46,Liz Wilcox,35,"Orlando, FL",Marketing Strategist,,"February 28, 2024","May 22, 2024","Liz Wilcox finishes None in  USA Survivor Season 46 titled 46, 
    Liz Wilcox is 35 years old from Orlando, FL and works as Marketing Strategist. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
838,46,46,Maria Shrime Gonzalez,47,"Dallas, TX",Parent Coach,,"February 28, 2024","May 22, 2024","Maria Shrime Gonzalez finishes None in  USA Survivor Season 46 titled 46, 
    Maria Shrime Gonzalez is 47 years old from Dallas, TX and works as Parent Coach. 
    Season 46 titled 46 aired during February 28, 2024 and May 22, 2024
    "
